Session started: 11/15/2025 1:27:27 PM
WaveFormat: 44100Hz, 32bit, 2ch
Set provider 0: active
Set provider 1: active
Read 1: samples=1024, pre-sum max=0.000, post-sum max=0.000, post-clamp max=0.000
Read 2201: samples=1024, pre-sum max=0.546, post-sum max=1.530, post-clamp max=1.000
Read 2301: samples=1024, pre-sum max=0.977, post-sum max=1.778, post-clamp max=1.000
Read 2401: samples=1024, pre-sum max=0.994, post-sum max=1.808, post-clamp max=1.000
Read 2501: samples=1024, pre-sum max=0.969, post-sum max=1.290, post-clamp max=1.000
Read 2601: samples=1024, pre-sum max=0.851, post-sum max=1.406, post-clamp max=1.000
Read 2701: samples=1024, pre-sum max=0.990, post-sum max=1.384, post-clamp max=1.000
Read 2801: samples=1024, pre-sum max=0.751, post-sum max=1.451, post-clamp max=1.000
Read 2901: samples=1024, pre-sum max=0.272, post-sum max=1.205, post-clamp max=1.000
Read 3001: samples=1024, pre-sum max=0.675, post-sum max=1.288, post-clamp max=1.000
Read 3101: samples=1024, pre-sum max=0.164, post-sum max=1.127, post-clamp max=1.000
Read 3201: samples=1024, pre-sum max=0.126, post-sum max=1.037, post-clamp max=1.000
Read 3301: samples=1024, pre-sum max=0.877, post-sum max=1.736, post-clamp max=1.000
Read 3401: samples=1024, pre-sum max=0.342, post-sum max=1.132, post-clamp max=1.000
Read 3501: samples=1024, pre-sum max=0.232, post-sum max=0.828, post-clamp max=0.828
Read 3601: samples=1024, pre-sum max=0.435, post-sum max=1.346, post-clamp max=1.000
Read 3701: samples=1024, pre-sum max=0.095, post-sum max=0.819, post-clamp max=0.819
Read 3801: samples=1024, pre-sum max=0.589, post-sum max=1.245, post-clamp max=1.000
Read 3901: samples=1024, pre-sum max=0.285, post-sum max=1.068, post-clamp max=1.000
Read 4001: samples=1024, pre-sum max=0.179, post-sum max=1.036, post-clamp max=1.000
Read 4101: samples=1024, pre-sum max=0.563, post-sum max=0.935, post-clamp max=0.935
Read 4201: samples=1024, pre-sum max=0.000, post-sum max=0.705, post-clamp max=0.705
Read 4301: samples=1024, pre-sum max=0.000, post-sum max=0.705, post-clamp max=0.705
Read 4401: samples=1024, pre-sum max=0.000, post-sum max=0.705, post-clamp max=0.705
Read 4501: samples=1024, pre-sum max=0.922, post-sum max=1.890, post-clamp max=1.000
Read 4601: samples=1024, pre-sum max=0.468, post-sum max=1.108, post-clamp max=1.000
Read 4701: samples=1024, pre-sum max=0.120, post-sum max=1.000, post-clamp max=1.000
Read 4801: samples=1024, pre-sum max=0.765, post-sum max=1.626, post-clamp max=1.000
Read 4901: samples=1024, pre-sum max=0.000, post-sum max=0.998, post-clamp max=0.998
Read 5001: samples=1024, pre-sum max=0.350, post-sum max=1.300, post-clamp max=1.000
Read 5101: samples=1024, pre-sum max=0.219, post-sum max=0.825, post-clamp max=0.825
Read 5201: samples=1024, pre-sum max=0.826, post-sum max=1.702, post-clamp max=1.000
Read 5301: samples=1024, pre-sum max=0.170, post-sum max=1.101, post-clamp max=1.000
Read 5401: samples=1024, pre-sum max=0.328, post-sum max=1.068, post-clamp max=1.000
Read 5501: samples=1024, pre-sum max=0.375, post-sum max=0.890, post-clamp max=0.890
Read 5601: samples=1024, pre-sum max=0.684, post-sum max=1.348, post-clamp max=1.000
Read 5701: samples=1024, pre-sum max=0.250, post-sum max=1.020, post-clamp max=1.000
Read 5801: samples=1024, pre-sum max=0.583, post-sum max=1.542, post-clamp max=1.000
Read 5901: samples=1024, pre-sum max=0.236, post-sum max=1.138, post-clamp max=1.000
Read 6001: samples=1024, pre-sum max=0.507, post-sum max=1.288, post-clamp max=1.000
Read 6101: samples=1024, pre-sum max=0.352, post-sum max=1.190, post-clamp max=1.000
Read 6201: samples=1024, pre-sum max=0.024, post-sum max=1.013, post-clamp max=1.000
Read 6301: samples=1024, pre-sum max=0.000, post-sum max=1.000, post-clamp max=1.000
Read 6401: samples=1024, pre-sum max=0.047, post-sum max=1.038, post-clamp max=1.000
Read 6501: samples=1024, pre-sum max=0.465, post-sum max=1.423, post-clamp max=1.000
Read 6601: samples=1024, pre-sum max=0.564, post-sum max=1.519, post-clamp max=1.000
Read 6701: samples=1024, pre-sum max=0.012, post-sum max=1.004, post-clamp max=1.000
Read 6801: samples=1024, pre-sum max=0.015, post-sum max=1.005, post-clamp max=1.000
Read 6901: samples=1024, pre-sum max=0.661, post-sum max=1.105, post-clamp max=1.000
Read 7001: samples=1024, pre-sum max=0.000, post-sum max=1.000, post-clamp max=1.000
Read 7101: samples=1024, pre-sum max=0.898, post-sum max=1.040, post-clamp max=1.000
Read 7201: samples=1024, pre-sum max=0.375, post-sum max=1.248, post-clamp max=1.000
Read 7301: samples=1024, pre-sum max=1.000, post-sum max=2.000, post-clamp max=1.000
Read 7401: samples=1024, pre-sum max=0.994, post-sum max=1.941, post-clamp max=1.000
Read 7501: samples=1024, pre-sum max=0.565, post-sum max=1.404, post-clamp max=1.000
Read 7601: samples=1024, pre-sum max=0.157, post-sum max=0.888, post-clamp max=0.888
Read 7701: samples=1024, pre-sum max=0.145, post-sum max=0.925, post-clamp max=0.925
Read 7801: samples=1024, pre-sum max=0.250, post-sum max=1.093, post-clamp max=1.000
Read 7901: samples=1024, pre-sum max=0.065, post-sum max=1.000, post-clamp max=1.000
Read 8001: samples=1024, pre-sum max=0.255, post-sum max=1.136, post-clamp max=1.000
Read 8101: samples=1024, pre-sum max=0.259, post-sum max=0.719, post-clamp max=0.719
Read 8201: samples=1024, pre-sum max=0.268, post-sum max=1.138, post-clamp max=1.000
Read 8301: samples=1024, pre-sum max=0.162, post-sum max=1.138, post-clamp max=1.000
Read 8401: samples=1024, pre-sum max=0.104, post-sum max=0.748, post-clamp max=0.748
Read 8501: samples=1024, pre-sum max=0.180, post-sum max=1.171, post-clamp max=1.000
Read 8601: samples=1024, pre-sum max=0.119, post-sum max=0.995, post-clamp max=0.995
Read 8701: samples=1024, pre-sum max=0.189, post-sum max=1.017, post-clamp max=1.000
Read 8801: samples=1024, pre-sum max=0.004, post-sum max=1.001, post-clamp max=1.000
Read 8901: samples=1024, pre-sum max=0.624, post-sum max=0.803, post-clamp max=0.803
Read 9001: samples=1024, pre-sum max=0.148, post-sum max=1.026, post-clamp max=1.000
Read 9101: samples=1024, pre-sum max=0.955, post-sum max=1.786, post-clamp max=1.000
Read 9201: samples=1024, pre-sum max=0.286, post-sum max=1.144, post-clamp max=1.000
Read 9301: samples=1024, pre-sum max=0.005, post-sum max=1.001, post-clamp max=1.000
Read 9401: samples=1024, pre-sum max=0.585, post-sum max=1.107, post-clamp max=1.000
Read 9501: samples=1024, pre-sum max=0.144, post-sum max=1.012, post-clamp max=1.000
Read 9601: samples=1024, pre-sum max=0.952, post-sum max=1.952, post-clamp max=1.000
Read 9701: samples=1024, pre-sum max=0.260, post-sum max=1.114, post-clamp max=1.000
Read 9801: samples=1024, pre-sum max=0.005, post-sum max=1.001, post-clamp max=1.000
Read 9901: samples=1024, pre-sum max=0.673, post-sum max=1.118, post-clamp max=1.000
Read 10001: samples=1024, pre-sum max=0.139, post-sum max=1.071, post-clamp max=1.000
Read 10101: samples=1024, pre-sum max=0.949, post-sum max=1.785, post-clamp max=1.000
